Size,Merge,Combine_Th5,Combine_Th10,Combine_Th20,Combine_Th30,Combine_Th50
89700,155,77,58,47,43,51
89800,152,68,57,47,44,53
89900,152,68,57,46,43,53
90000,152,69,65,48,44,54
90100,159,70,62,48,43,69
90200,157,72,59,47,44,53
90300,155,70,61,47,43,52
90400,161,72,59,47,43,53
90500,161,71,59,50,44,53
90600,157,71,58,46,44,53
90700,161,74,59,47,43,52
90800,158,71,59,47,44,53
90900,154,72,59,47,44,53
91000,162,73,58,46,44,54
91100,159,72,60,48,47,57
91200,160,76,61,48,45,55
91300,159,72,60,47,45,53
91400,155,73,58,46,45,53
91500,157,73,60,47,44,53
91600,167,73,60,47,44,54
91700,159,73,59,48,45,52
91800,164,75,60,48,45,54
